,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
0,1,<,1,Alabama (42),SEC,0-0,1505,*1,DNP,PreseasonAug 20[1],2018,,
1,2,<,4,Clemson (18),ACC,0-0,1476,*2,DNP,PreseasonAug 20[1],2018,,
2,3,<,2,Georgia,SEC,0-0,1350,4,DNP,PreseasonAug 20[1],2018,,
3,4,<,7,Wisconsin (1),Big Ten,0-0,1271,7,DNP,PreseasonAug 20[1],2018,,
4,5,<,5,Ohio State,Big Ten,0-0,1256,*3,DNP,PreseasonAug 20[1],2018,,
5,6,<,16,Washington,Pac-12,0-0,1215,6,DNP,PreseasonAug 20[1],2018,,
6,7,<,3,Oklahoma,Big 12,0-0,1173,5,DNP,PreseasonAug 20[1],2018,,
7,8,<,13,Miami (FL),ACC,0-0,1027,8,DNP,PreseasonAug 20[1],2018,,
8,9,<,10,Auburn,SEC,0-0,1013,10,DNP,PreseasonAug 20[1],2018,,
9,10,<,8,Penn State,Big Ten,0-0,1012,9,DNP,PreseasonAug 20[1],2018,,
10,11,<,15,Michigan State,Big Ten,0-0,877,12,DNP,PreseasonAug 20[1],2018,,
11,12,<,11,Notre Dame,Ind,0-0,804,11,DNP,PreseasonAug 20[1],2018,,
12,13,<,20,Stanford,Pac-12,0-0,778,13,DNP,PreseasonAug 20[1],2018,,
13,14,<,NR,Michigan,Big Ten,0-0,773,14,DNP,PreseasonAug 20[1],2018,,
14,15,<,12,USC,Pac-12,0-0,543,15,DNP,PreseasonAug 20[1],2018,,
15,16,<,9,TCU,Big 12,0-0,533,16,DNP,PreseasonAug 20[1],2018,,
16,17,<,NR,West Virginia,Big 12,0-0,511,20,DNP,PreseasonAug 20[1],2018,,
17,18,<,19,Mississippi State,SEC,0-0,450,18,DNP,PreseasonAug 20[1],2018,,
18,19,<,NR,Florida State,ACC,0-0,384,19,DNP,PreseasonAug 20[1],2018,,
19,20,<,24,Virginia Tech,ACC,0-0,351,17,DNP,PreseasonAug 20[1],2018,,
20,21,<,6,UCF,AAC,0-0,312,23,DNP,PreseasonAug 20[1],2018,,
21,22,<,22,Boise State,MWC,0-0,292,22,DNP,PreseasonAug 20[1],2018,,
22,23,<,NR,Texas,Big 12,0-0,216,21,DNP,PreseasonAug 20[1],2018,,
23,24,<,NR,Oregon,Pac-12,0-0,148,RV,DNP,PreseasonAug 20[1],2018,,
24,25,<,18,LSU,SEC,0-0,106,24,DNP,PreseasonAug 20[1],2018,,
25,RV,<,NR,South Carolina,SEC,0-0,96,RV,DNP,PreseasonAug 20[1],2018,,
26,RV,<,NR,Florida,SEC,0-0,68,RV,DNP,PreseasonAug 20[1],2018,,
27,RV,<,NR,Utah,Pac-12,0-0,60,RV,DNP,PreseasonAug 20[1],2018,,
28,RV,<,14,Oklahoma State,Big 12,0-0,51,25,DNP,PreseasonAug 20[1],2018,,
29,RV,<,NR,Florida Atlantic,CUSA,0-0,38,RV,DNP,PreseasonAug 20[1],2018,,
30,RV,<,NR,Arizona,Pac-12,0-0,28,RV,DNP,PreseasonAug 20[1],2018,,
31,RV,<,23,NC State,ACC,0-0,22,RV,DNP,PreseasonAug 20[1],2018,,
32,RV,<,NR,Texas A&M,SEC,0-0,21,RV,DNP,PreseasonAug 20[1],2018,,
33,RV,<,NR,Boston College,ACC,0-0,18,RV,DNP,PreseasonAug 20[1],2018,,
34,RV,<,17,Northwestern,Big Ten,0-0,13,RV,DNP,PreseasonAug 20[1],2018,,
35,RV,<,NR,Kansas State,Big 12,0-0,10,RV,DNP,PreseasonAug 20[1],2018,,
36,RV,<,NR,Iowa State,Big 12,0-0,8,RV,DNP,PreseasonAug 20[1],2018,,
37,RV,<,NR,Houston,AAC,0-0,6,RV,DNP,PreseasonAug 20[1],2018,,
38,RV,<,25,Memphis,AAC,0-0,3,RV,DNP,PreseasonAug 20[1],2018,,
39,RV,<,NR,Iowa,Big Ten,0-0,2,RV,DNP,PreseasonAug 20[1],2018,,
40,RV,<,NR,Troy,Sun Belt,0-0,2,RV,DNP,PreseasonAug 20[1],2018,,
41,RV,<,NR,Arkansas State,Sun Belt,0-0,1,RV,DNP,PreseasonAug 20[1],2018,,
42,RV,<,NR,Fresno State,MWC,0-0,1,RV,DNP,PreseasonAug 20[1],2018,,
43,RV,<,NR,Kentucky,SEC,0-0,1,RV,DNP,PreseasonAug 20[1],2018,,
44,NR,<,21,South Florida,AAC,0-0,0,RV,DNP,PreseasonAug 20[1],2018,,
45,NR,<,NR,Appalachian State,Sun Belt,0-0,0,RV,DNP,PreseasonAug 20[1],2018,,
46,NR,<,NR,Army,Ind,0-0,0,RV,DNP,PreseasonAug 20[1],2018,,
47,NR,<,NR,Duke,ACC,0-0,0,RV,DNP,PreseasonAug 20[1],2018,,
48,NR,<,NR,Louisville,ACC,0-0,0,RV,DNP,PreseasonAug 20[1],2018,,
49,NR,<,NR,Northern Illinois,MAC,0-0,0,RV,DNP,PreseasonAug 20[1],2018,,
50,NR,<,NR,San Diego State,MWC,0-0,0,RV,DNP,PreseasonAug 20[1],2018,,
51,NR,<,NR,Washington State,Pac-12,0-0,0,RV,DNP,PreseasonAug 20[1],2018,,
52,1,<,1,Alabama (48),SEC,1-0,1511,*1,W 51-14 N Louisville (Camping World Kickoff),Week 1Sep 4[2],2018,,
53,2,<,2,Clemson (12),ACC,1-0,1467,*2,W 48-7 H Furman,Week 1Sep 4[2],2018,,
54,3,<,3,Georgia,SEC,1-0,1350,3,W 45-0 H Austin Peay,Week 1Sep 4[2],2018,,
55,4,<,5,Ohio State,Big Ten,1-0,1262,*4,W 77-31 H Oregon State,Week 1Sep 4[2],2018,,
56,5,<,4,Wisconsin (1),Big Ten,1-0,1258,6,W 34-3 H Western Kentucky,Week 1Sep 4[2],2018,,
57,6,<,7,Oklahoma,Big 12,1-0,1251,5,W 63-14 H Florida Atlantic,Week 1Sep 4[2],2018,,
58,7,<,9,Auburn,SEC,1-0,1236,7,W 21-16 N #6 Washington (Chick-fil-A Kickoff),Week 1Sep 4[2],2018,,
59,8,<,12,Notre Dame,Ind,1-0,1080,8,W 24-17 H #14 Michigan,Week 1Sep 4[2],2018,,
60,9,<,6,Washington,Pac-12,0-1,870,11,L 21-16 N #9 Auburn (Chick-fil-A Kickoff),Week 1Sep 4[2],2018,,
61,10,<,13,Stanford,Pac-12,1-0,865,9,W 31-10 H San Diego State,Week 1Sep 4[2],2018,,
62,11,<,25,LSU,SEC,1-0,801,15,W 33-17 N #8 Miami (FL),Week 1Sep 4[2],2018,,
63,12,<,20,Virginia Tech,ACC,1-0,777,14,W 24-3 A #19 Florida State,Week 1Sep 4[2],2018,,
64,13,<,10,Penn State,Big Ten,1-0,768,10,W 45-38 (1OT) H Appalachian State,Week 1Sep 4[2],2018,,
65,14,<,17,West Virginia,Big 12,1-0,762,17,W 40-14 N Tennessee,Week 1Sep 4[2],2018,,
