,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
0,1,<,1,Ohio State (61),Big Ten,0-0,1525,*1,DNP,PreseasonAug 23[1],2015,,
1,2,<,3,TCU,Big 12,0-0,1428,*2,DNP,PreseasonAug 23[1],2015,,
2,3,<,4,Alabama,SEC,0-0,1322,*3,DNP,PreseasonAug 23[1],2015,,
3,4,<,7,Baylor,Big 12,0-0,1263,4,DNP,PreseasonAug 23[1],2015,,
4,5,<,5,Michigan State,Big Ten,0-0,1256,6,DNP,PreseasonAug 23[1],2015,,
5,6,<,22,Auburn,SEC,0-0,1192,7,DNP,PreseasonAug 23[1],2015,,
6,7,<,2,Oregon,Pac-12,0-0,1156,5,DNP,PreseasonAug 23[1],2015,,
7,8,<,20,USC,Pac-12,0-0,1085,10,DNP,PreseasonAug 23[1],2015,,
8,9,<,9,Georgia,SEC,0-0,991,9,DNP,PreseasonAug 23[1],2015,,
9,10,<,5,Florida State,ACC,0-0,959,8,DNP,PreseasonAug 23[1],2015,,
10,11,<,NR,Notre Dame,Ind,0-0,873,11,DNP,PreseasonAug 23[1],2015,,
11,12,<,15,Clemson,ACC,0-0,862,12,DNP,PreseasonAug 23[1],2015,,
12,13,<,10,UCLA,Pac-12,0-0,698,14,DNP,PreseasonAug 23[1],2015,,
13,14,<,NR,LSU,SEC,0-0,675,13,DNP,PreseasonAug 23[1],2015,,
14,15,<,12,Arizona State,Pac-12,0-0,605,16,DNP,PreseasonAug 23[1],2015,,
15,16,<,8,Georgia Tech,ACC,0-0,588,17,DNP,PreseasonAug 23[1],2015,,
16,17,<,17,Mississippi,SEC,0-0,563,15,DNP,PreseasonAug 23[1],2015,,
17,18,<,NR,Arkansas,SEC,0-0,410,20,DNP,PreseasonAug 23[1],2015,,
18,19,<,NR,Oklahoma,Big 12,0-0,394,19,DNP,PreseasonAug 23[1],2015,,
19,20,<,13,Wisconsin,Big Ten,0-0,393,18,DNP,PreseasonAug 23[1],2015,,
20,21,<,NR,Stanford,Pac-12,0-0,347,21,DNP,PreseasonAug 23[1],2015,,
21,22,<,19,Arizona,Pac-12,0-0,311,22,DNP,PreseasonAug 23[1],2015,,
22,23,<,16,Boise State,MWC,0-0,240,24,DNP,PreseasonAug 23[1],2015,,
