,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
0,1,<,1,Clemson (52),ACC,0-0,1540,*1,DNP,PreseasonAug 19[1],2019,,
1,2,<,2,Alabama (10),SEC,0-0,1496,*2,DNP,PreseasonAug 19[1],2019,,
2,3,<,7,Georgia,SEC,0-0,1403,3,DNP,PreseasonAug 19[1],2019,,
3,4,<,4,Oklahoma,Big 12,0-0,1331,4,DNP,PreseasonAug 19[1],2019,,
4,5,<,3,Ohio State,Big Ten,0-0,1261,5,DNP,PreseasonAug 19[1],2019,,
5,6,<,6,LSU,SEC,0-0,1199,6,DNP,PreseasonAug 19[1],2019,,
6,7,<,14,Michigan,Big Ten,0-0,1164,7,DNP,PreseasonAug 19[1],2019,,
7,8,<,7,Florida,SEC,0-0,1054,8,DNP,PreseasonAug 19[1],2019,,
8,9,<,5,Notre Dame,Ind,0-0,1044,9,DNP,PreseasonAug 19[1],2019,,
9,10,<,9,Texas,Big 12,0-0,1005,10,DNP,PreseasonAug 19[1],2019,,
10,11,<,NR,Oregon,Pac-12,0-0,860,13,DNP,PreseasonAug 19[1],2019,,
11,12,<,16,Texas A&M,SEC,0-0,852,11,DNP,PreseasonAug 19[1],2019,,
12,13,<,13,Washington,Pac-12,0-0,786,12,DNP,PreseasonAug 19[1],2019,,
13,14,<,NR,Utah,Pac-12,0-0,772,15,DNP,PreseasonAug 19[1],2019,,
14,15,<,17,Penn State,Big Ten,0-0,651,14,DNP,PreseasonAug 19[1],2019,,
15,16,<,NR,Auburn,SEC,0-0,578,16,DNP,PreseasonAug 19[1],2019,,
16,17,<,11,UCF,AAC,0-0,410,17,DNP,PreseasonAug 19[1],2019,,
17,18,<,NR,Michigan State,Big Ten,0-0,377,20,DNP,PreseasonAug 19[1],2019,,
18,19,<,NR,Wisconsin,Big Ten,0-0,370,17,DNP,PreseasonAug 19[1],2019,,
19,20,<,25,Iowa,Big Ten,0-0,330,19,DNP,PreseasonAug 19[1],2019,,
20,21,<,NR,Iowa State,Big 12,0-0,302,24,DNP,PreseasonAug 19[1],2019,,
21,22,<,15,Syracuse,ACC,0-0,209,22,DNP,PreseasonAug 19[1],2019,,
22,23,<,10,Washington State,Pac-12,0-0,200,21,DNP,PreseasonAug 19[1],2019,,
23,24,<,NR,Nebraska,Big Ten,0-0,154,RV,DNP,PreseasonAug 19[1],2019,,
24,25,<,NR,Stanford,Pac-12,0-0,141,23,DNP,PreseasonAug 19[1],2019,,
25,RV,<,NR,Missouri,SEC,0-0,117,NR,DNP,PreseasonAug 19[1],2019,,
26,RV,<,19,Army,Ind,0-0,94,RV,DNP,PreseasonAug 19[1],2019,,
27,RV,<,NR,Mississippi State,SEC,0-0,87,RV,DNP,PreseasonAug 19[1],2019,,
28,RV,<,NR,Miami (FL),ACC,0-0,70,RV,DNP,PreseasonAug 19[1],2019,,
29,RV,<,21,Northwestern,Big Ten,0-0,63,25,DNP,PreseasonAug 19[1],2019,,
30,RV,<,NR,TCU,Big 12,0-0,57,RV,DNP,PreseasonAug 19[1],2019,,
31,RV,<,NR,Virginia,ACC,0-0,44,RV,DNP,PreseasonAug 19[1],2019,,
32,RV,<,23,Boise State,MWC,0-0,38,RV,DNP,PreseasonAug 19[1],2019,,
33,RV,<,24,Cincinnati,AAC,0-0,16,RV,DNP,PreseasonAug 19[1],2019,,
34,RV,<,NR,South Carolina,SEC,0-0,15,RV,DNP,PreseasonAug 19[1],2019,,
35,RV,<,NR,Virginia Tech,ACC,0-0,12,RV,DNP,PreseasonAug 19[1],2019,,
36,RV,<,18,Fresno State,MWC,0-0,8,RV,DNP,PreseasonAug 19[1],2019,,
37,RV,<,22,Utah State,MWC,0-0,8,RV,DNP,PreseasonAug 19[1],2019,,
38,RV,<,NR,Minnesota,Big Ten,0-0,7,RV,DNP,PreseasonAug 19[1],2019,,
39,RV,<,NR,Memphis,AAC,0-0,6,RV,DNP,PreseasonAug 19[1],2019,,
40,RV,<,NR,Appalachian State,Sun Belt,0-0,5,RV,DNP,PreseasonAug 19[1],2019,,
41,RV,<,20,West Virginia,Big 12,0-0,3,RV,DNP,PreseasonAug 19[1],2019,,
42,RV,<,NR,Arizona State,Pac-12,0-0,3,RV,DNP,PreseasonAug 19[1],2019,,
43,RV,<,NR,Oklahoma State,Big 12,0-0,3,RV,DNP,PreseasonAug 19[1],2019,,
44,RV,<,NR,UAB,CUSA,0-0,3,NR,DNP,PreseasonAug 19[1],2019,,
45,RV,<,NR,Arizona,Pac-12,0-0,1,NR,DNP,PreseasonAug 19[1],2019,,
