,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
0,1,<,2,Alabama (52),SEC,0-0,1513,*1,DNP,PreseasonAug 21[1],2017,,
1,2,<,6,Ohio State (3),Big Ten,0-0,1414,*2,DNP,PreseasonAug 21[1],2017,,
2,3,<,8,Florida State (4),ACC,0-0,1396,*3,DNP,PreseasonAug 21[1],2017,,
3,4,<,3,USC (2),Pac-12,0-0,1325,4,DNP,PreseasonAug 21[1],2017,,
4,5,<,1,Clemson,ACC,0-0,1201,*5,DNP,PreseasonAug 21[1],2017,,
5,6,<,7,Penn State,Big Ten,0-0,1196,6,DNP,PreseasonAug 21[1],2017,,
6,7,<,5,Oklahoma,Big 12,0-0,1170,8,DNP,PreseasonAug 21[1],2017,,
7,8,<,4,Washington,Pac-12,0-0,1150,7,DNP,PreseasonAug 21[1],2017,,
8,9,<,9,Wisconsin,Big Ten,0-0,926,10,DNP,PreseasonAug 21[1],2017,,
9,10,<,11,Oklahoma State,Big 12,0-0,889,11,DNP,PreseasonAug 21[1],2017,,
10,11,<,10,Michigan,Big Ten,0-0,881,9,DNP,PreseasonAug 21[1],2017,,
11,12,<,24,Auburn,SEC,0-0,880,13,DNP,PreseasonAug 21[1],2017,,
12,13,<,13,LSU,SEC,0-0,784,12,DNP,PreseasonAug 21[1],2017,,
13,14,<,12,Stanford,Pac-12,0-0,695,14,DNP,PreseasonAug 21[1],2017,,
14,15,<,NR,Georgia,SEC,0-0,690,15,DNP,PreseasonAug 21[1],2017,,
15,16,<,21,Louisville,ACC,0-0,629,17,DNP,PreseasonAug 21[1],2017,,
16,17,<,14,Florida,SEC,0-0,624,16,DNP,PreseasonAug 21[1],2017,,
17,18,<,20,Miami (FL),ACC,0-0,492,18,DNP,PreseasonAug 21[1],2017,,
18,19,<,19,South Florida,AAC,0-0,327,21,DNP,PreseasonAug 21[1],2017,,
19,20,<,NR,Kansas State,Big 12,0-0,317,19,DNP,PreseasonAug 21[1],2017,,
20,21,<,16,Virginia Tech,ACC,0-0,240,22,DNP,PreseasonAug 21[1],2017,,
21,22,<,18,West Virginia,Big 12,0-0,207,20,DNP,PreseasonAug 21[1],2017,,
22,23,<,NR,Texas,Big 12,0-0,173,23,DNP,PreseasonAug 21[1],2017,,
23,24,<,NR,Washington State,Pac-12,0-0,133,RV,DNP,PreseasonAug 21[1],2017,,
24,25,<,22,Tennessee,SEC,0-0,114,24,DNP,PreseasonAug 21[1],2017,,
25,RV,<,NR,TCU,Big 12,0-0,98,RV,DNP,PreseasonAug 21[1],2017,,
26,RV,<,23,Utah,Pac-12,0-0,85,25,DNP,PreseasonAug 21[1],2017,,
27,RV,<,NR,Notre Dame,Ind,0-0,65,RV,DNP,PreseasonAug 21[1],2017,,
28,RV,<,NR,Boise State,MWC,0-0,37,RV,DNP,PreseasonAug 21[1],2017,,
29,RV,<,NR,NC State,ACC,0-0,26,RV,DNP,PreseasonAug 21[1],2017,,
30,RV,<,NR,Northwestern,Big Ten,0-0,25,RV,DNP,PreseasonAug 21[1],2017,,
31,RV,<,NR,Pittsburgh,ACC,0-0,23,RV,DNP,PreseasonAug 21[1],2017,,
32,RV,<,NR,Oregon,Pac-12,0-0,21,RV,DNP,PreseasonAug 21[1],2017,,
33,RV,<,NR,Houston,AAC,0-0,19,RV,DNP,PreseasonAug 21[1],2017,,
34,RV,<,17,Colorado,Pac-12,0-0,18,RV,DNP,PreseasonAug 21[1],2017,,
35,RV,<,25,San Diego State,MWC,0-0,9,RV,DNP,PreseasonAug 21[1],2017,,
36,RV,<,NR,UCLA,Pac-12,0-0,9,RV,DNP,PreseasonAug 21[1],2017,,
37,RV,<,NR,BYU,Ind,0-0,5,RV,DNP,PreseasonAug 21[1],2017,,
38,RV,<,NR,Appalachian State,Sun Belt,0-0,4,RV,DNP,PreseasonAug 21[1],2017,,
39,RV,<,NR,Nebraska,Big Ten,0-0,4,RV,DNP,PreseasonAug 21[1],2017,,
40,RV,<,NR,Tulsa,AAC,0-0,4,RV,DNP,PreseasonAug 21[1],2017,,
41,RV,<,NR,Kentucky,SEC,0-0,3,NR,DNP,PreseasonAug 21[1],2017,,
42,RV,<,NR,Texas A&M,SEC,0-0,3,RV,DNP,PreseasonAug 21[1],2017,,
43,RV,<,NR,Michigan State,Big Ten,0-0,1,RV,DNP,PreseasonAug 21[1],2017,,
44,NR,<,15,Western Michigan,MAC,0-0,0,RV,DNP,PreseasonAug 21[1],2017,,
